Alpha,Exceedances,Queue_Count,Method
0.5,55.99439405961162,1506,Original Network
0.5,41.40974419235305,1506,Original Network
0.5,60.72141276489119,1506,Original Network
0.5,54.01855606203445,1506,Original Network
0.5,51.43276123710925,1506,Original Network
0.5,53.60250814598658,1506,Original Network
0.5,57.50724852898786,1506,Original Network
0.5,50.44913475348275,1506,Original Network
0.5,48.22706150967036,1506,Original Network
0.5,50.15355393616278,1506,Original Network
0.5,54.07421659595587,1506,Original Network
0.5,59.16617094877983,1506,Original Network
0.5,44.75148679496522,1506,Original Network
0.5,36.7623885232582,1506,Original Network
0.5,68.97625049798978,1506,Original Network
0.5,54.50804579065472,1506,Original Network
0.5,58.00432228693118,1506,Original Network
0.5,59.04704106878035,1506,Original Network
0.5,52.681989442859184,1506,Original Network
0.5,39.472824233693906,1506,Original Network
0.5,51.58771934858911,1506,Original Network
0.5,56.24180104614902,1506,Original Network
0.5,64.47120125381011,1506,Original Network
0.5,36.860964882704124,1506,Original Network
0.5,30.751261773001055,1506,Original Network
0.5,52.9205182248662,1506,Original Network
0.5,54.073743834613545,1506,Original Network
0.5,54.01014679275568,1506,Original Network
0.5,35.51767127854095,1506,Original Network
0.5,54.73424356033068,1506,Original Network
0.5,40.312559573429276,1506,Original Network
0.5,33.095749595749695,1506,Original Network
0.5,45.47438647438662,1506,Original Network
0.5,43.91861474470188,1506,Original Network
0.5,44.16483468657397,1506,Original Network
0.5,45.89033467294356,1506,Original Network
0.5,43.24517326691252,1506,Original Network
0.5,55.391599674208535,1506,Original Network
0.5,53.868801434018984,1506,Original Network
0.5,55.56842485103373,1506,Original Network
0.5,46.81664464273179,1506,Original Network
0.5,37.89200667461549,1506,Original Network
0.5,62.048861092339514,1506,Original Network
0.5,50.03597505771432,1506,Original Network
0.5,29.95373825808624,1506,Original Network
0.5,41.700402983011806,1506,Original Network
0.5,34.22327224501147,1506,Original Network
0.5,36.045336067075354,1506,Original Network
0.5,53.190349451219184,1506,Original Network
0.5,66.1299364342844,1506,Original Network
0.55,72.75924730272583,1506,Original Network
0.55,68.98081502429346,1506,Original Network
0.55,79.90010268271153,1506,Original Network
0.55,82.78002584524336,1506,Original Network
0.55,79.03000755174683,1506,Original Network
0.55,61.30487582661511,1506,Original Network
0.55,78.1109336761513,1506,Original Network
0.55,91.0071650723826,1506,Original Network
0.55,88.04010914880494,1506,Original Network
0.55,85.24222550309521,1506,Original Network
0.55,80.34745663006552,1506,Original Network
0.55,80.21045149306035,1506,Original Network
0.55,70.07551435812327,1506,Original Network
0.55,85.03964284399082,1506,Original Network
0.55,84.31047889743553,1506,Original Network
0.55,59.34998089345932,1506,Original Network
0.55,73.2665620709101,1506,Original Network
0.55,84.65359267533195,1506,Original Network
0.55,57.678397221875635,1506,Original Network
0.55,61.900509443987886,1506,Original Network
0.55,72.8159138593923,1506,Original Network
0.55,88.13589844024636,1506,Original Network
0.55,60.898011963229514,1506,Original Network
0.55,79.31256435604277,1506,Original Network
0.55,101.94733481690028,1506,Original Network
0.55,90.8083618735794,1506,Original Network
0.55,71.89553719988521,1506,Original Network
0.55,67.94164422425311,1506,Original Network
0.55,68.95582873843757,1506,Original Network
0.55,58.37864142211987,1506,Original Network
0.55,72.34158788506639,1506,Original Network
0.55,85.36304268912981,1506,Original Network
0.55,85.06810011157856,1506,Original Network
0.55,78.12445842880639,1506,Original Network
0.55,81.74406704841499,1506,Original Network
0.55,69.91249945597791,1506,Original Network
0.55,87.62558066905905,1506,Original Network
0.55,107.01499660195331,1506,Original Network
0.55,101.85003995873578,1506,Original Network
0.55,86.26517654778532,1506,Original Network
0.55,74.4619110271286,1506,Original Network
0.55,80.7396507831291,1506,Original Network
0.55,77.72379426727262,1506,Original Network
0.55,72.99644030078827,1506,Original Network
0.55,59.202179006526976,1506,Original Network
0.55,77.76588580936424,1506,Original Network
0.55,56.41081095428939,1506,Original Network
0.55,86.59145337406227,1506,Original Network
0.55,97.33048767831393,1506,Original Network
0.55,78.7429445690317,1506,Original Network
0.6000000000000001,101.12456818978573,1506,Original Network
0.6000000000000001,103.17577443664423,1506,Original Network
0.6000000000000001,120.6717144760625,1506,Original Network
0.6000000000000001,117.5708668534757,1506,Original Network
0.6000000000000001,91.22796279318034,1506,Original Network
0.6000000000000001,113.9002401828491,1506,Original Network
0.6000000000000001,139.00414030848847,1506,Original Network
0.6000000000000001,117.59660520530105,1506,Original Network
0.6000000000000001,128.12983647766276,1506,Original Network
0.6000000000000001,107.52332480593367,1506,Original Network
0.6000000000000001,102.27276057710856,1506,Original Network
0.6000000000000001,117.3416701460182,1506,Original Network
0.6000000000000001,127.26735335431012,1506,Original Network
0.6000000000000001,107.42980319067291,1506,Original Network
0.6000000000000001,127.31228863837582,1506,Original Network
0.6000000000000001,117.16521873043631,1506,Original Network
0.6000000000000001,139.41184471619295,1506,Original Network
0.6000000000000001,117.57114113635875,1506,Original Network
0.6000000000000001,126.57364889973606,1506,Original Network
0.6000000000000001,113.70803627325388,1506,Original Network
0.6000000000000001,111.13602494037295,1506,Original Network
0.6000000000000001,87.96676203197951,1506,Original Network
0.6000000000000001,121.26108382630139,1506,Original Network
0.6000000000000001,130.33480542176216,1506,Original Network
0.6000000000000001,117.92006674615394,1506,Original Network
0.6000000000000001,144.56861687296515,1506,Original Network
0.6000000000000001,124.90252794600639,1506,Original Network
0.6000000000000001,131.2995078212472,1506,Original Network
0.6000000000000001,127.26320730668577,1506,Original Network
0.6000000000000001,105.22080226428074,1506,Original Network
0.6000000000000001,111.95159301681063,1506,Original Network
0.6000000000000001,103.4329429764214,1506,Original Network
0.6000000000000001,130.10454816976582,1506,Original Network
0.6000000000000001,105.32996565605282,1506,Original Network
0.6000000000000001,103.06883185144069,1506,Original Network
0.6000000000000001,98.9889547933028,1506,Original Network
0.6000000000000001,134.07377635638525,1506,Original Network
0.6000000000000001,133.0226260661046,1506,Original Network
0.6000000000000001,108.97825154346913,1506,Original Network
0.6000000000000001,109.47204801552648,1506,Original Network
0.6000000000000001,116.49429529864328,1506,Original Network
0.6000000000000001,109.35848964109843,1506,Original Network
0.6000000000000001,109.32544441240113,1506,Original Network
0.6000000000000001,109.22396978918736,1506,Original Network
0.6000000000000001,116.2914433784001,1506,Original Network
0.6000000000000001,104.50384832993548,1506,Original Network
0.6000000000000001,103.27545031892876,1506,Original Network
0.6000000000000001,90.24276402537284,1506,Original Network
0.6000000000000001,123.51080655428504,1506,Original Network
0.6000000000000001,116.36800991148834,1506,Original Network
0.6500000000000001,176.7884351145223,1506,Original Network
0.6500000000000001,165.3031478683656,1506,Original Network
0.6500000000000001,194.84334095203678,1506,Original Network
0.6500000000000001,225.17256123777864,1506,Original Network
0.6500000000000001,183.00512480947305,1506,Original Network
0.6500000000000001,161.72703353138186,1506,Original Network
0.6500000000000001,174.75685456120263,1506,Original Network
0.6500000000000001,169.59517544300184,1506,Original Network
0.6500000000000001,169.28106462889102,1506,Original Network
0.6500000000000001,153.63948420470203,1506,Original Network
0.6500000000000001,165.94992077600824,1506,Original Network
0.6500000000000001,194.27819936515598,1506,Original Network
0.6500000000000001,171.4965108443371,1506,Original Network
0.6500000000000001,180.903919447398,1506,Original Network
0.6500000000000001,181.04656185090988,1506,Original Network
0.6500000000000001,151.20524155306813,1506,Original Network
0.6500000000000001,210.7344795823058,1506,Original Network
0.6500000000000001,180.05587862109635,1506,Original Network
0.6500000000000001,158.33563687911564,1506,Original Network
0.6500000000000001,194.08690415212175,1506,Original Network
0.6500000000000001,173.48437185393738,1506,Original Network
