Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,1.0,0.0,0.5
10,0.5,0.0,0.5,0.5,1.5,1.0,6.4949748743718585
15,0.5,0.0,1.5,0.5,3.9949748743718594,2.484924623115578,11.989949748743719
20,1.0,0.5,5.994974874371859,1.0,6.4949748743718585,3.4849246231155777,12.489949748743719
25,2.0,0.5,7.494974874371859,2.0,8.99497487437186,5.989949748743719,14.989949748743719
30,7.000000000000001,0.5,10.49748743718593,8.49497487437186,12.489949748743719,11.989949748743719,17.48994974874372
35,10.49497487437186,0.5,15.49497487437186,11.992462311557789,14.989949748743719,17.984924623115578,21.982412060301506
40,14.494974874371861,1.5,21.99246231155779,15.992462311557789,18.482412060301506,25.97738693467337,24.974874371859297
45,22.49497487437186,4.989949748743719,27.49246231155779,25.487437185929647,26.949748743718594,33.97738693467336,29.969849246231156
50,28.492462311557787,9.489949748743719,33.48492462311558,31.984924623115578,31.447236180904525,38.972361809045225,33.462311557788944
55,35.98994974874372,17.454773869346734,40.45728643216081,38.98994974874372,37.44221105527638,44.97989949748744,36.469849246231156
60,41.459798994974875,21.954773869346734,45.46733668341709,46.42462311557789,40.93969849246231,49.47236180904523,42.45226130653266
65,46.484924623115575,27.939698492462313,49.962311557788944,51.47989949748744,44.42713567839196,55.959798994974875,47.44221105527638
70,48.98743718592965,34.434673366834176,55.46733668341709,56.47487437185929,51.417085427135675,58.4748743718593,51.94723618090452
75,51.489949748743726,37.43467336683417,59.46733668341708,61.982412060301506,56.42462311557789,60.4748743718593,58.42462311557789
80,53.98994974874371,41.949748743718594,63.469849246231156,66.48241206030151,62.93467336683417,62.98492462311558,61.93969849246231
85,55.49748743718593,49.56030150753769,66.47738693467336,70.46231155778895,68.23618090452261,69.9572864321608,66.12311557788945
90,57.99246231155779,52.427135678391956,68.96733668341709,74.4824120603015,72.0678391959799,74.95477386934674,69.54522613065328
95,61.48994974874372,59.640703517587944,72.94974874371859,77.97989949748744,76.40452261306532,76.96231155778894,72.49497487437186
100,97.821608040201,98.71356783919597,98.84924623115577,99.19095477386935,98.54522613065326,98.97989949748744,98.46482412060301
